COLUMNA,DESCRIPCION,TIPO_DATO,LONGITUD,CODIGO_VALIDO,METADATOS,Column1,_1,_2
UPM,Unidad primaria de muestreo,Varchar,7,[],Unidad primaria de muestreo,,,
VIV_SEL,Vivienda seleccionada ,Varchar,2,[],Vivienda seleccionada ,,,
HOGAR,Número de Hogar en la vivienda,Varchar,2,[],Número de Hogar en la vivienda,,,
NUM_REN,Número de renglón,Varchar,2,[],Número de renglón,,,
EDAD,Edad del elegido,Numeric,2,[6-98],"6 - 96 Edad en años cumplidos de la persona elegida en el hogar, 97 Persona elegida de 97 o más años, 98 Edad no especificada en personas elegidas de 6 años o más",,,
P6_1,"6.1 En los últimos tres meses, ¿utilizó computadora, laptop o tablet en este hogar o fuera de él?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P6_2_1,"6.2 ¿Usted usa…
 computadora de escritorio?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P6_2_2,"6.2 ¿Usted usa…
 computadora portátil (laptop, notebook)?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P6_2_3,"6.2 ¿Usted usa…
 tablet?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P6_3,"6.3 ¿Por qué no utiliza computadora, laptop o tablet?",Varchar,1,[1-8],"1 No tiene acceso a una, aunque sabe utilizarla, 2 No sabe utilizarla, 3 No le interesa o no la necesita, 4 Por falta de recursos económicos, 5 Usa su teléfono celular inteligente (Smartphone), 6 Desconoce su utilidad, 7 Por discapacidad física o mental, 8 Otra razón",,,
P6_3A,"6.3 ¿Por qué no utiliza computadora, laptop o tablet? 
Especifique",Varchar,100,[A-Z], ,,,
P6_4,"6.4 En los últimos tres meses, ¿con qué frecuencia ha usado la computadora, laptop o tablet?",Varchar,1,[1-5],"1 Diario (7 días a la semana), 2 Al menos una vez a la semana, 3 Al menos una vez al mes, 4 Al menos una vez cada tres meses, 5 Con otra frecuencia menor",,,
P6_5,"6.5 ¿Cuántas horas al día usa la computadora, laptop o tablet? (cuando la utiliza)",Varchar,2,[01-24],01 Una hora o menos,,,
P6_6_1,"6.6 ¿Cómo aprendió a utilizar la computadora, laptop o tablet? 
Por cuenta propia",Varchar,1,[1-2],"1 Sí, 2 No",,,
P6_6_2,"6.6 ¿Cómo aprendió a utilizar la computadora, laptop o tablet? 
En el trabajo",Varchar,1,[1-2],"1 Sí, 2 No",,,
P6_6_3,"6.6 ¿Cómo aprendió a utilizar la computadora, laptop o tablet? 
En la escuela",Varchar,1,[1-2],"1 Sí, 2 No",,,
P6_6_4,"6.6 ¿Cómo aprendió a utilizar la computadora, laptop o tablet? 
En cursos pagados fuera de la escuela",Varchar,1,[1-2],"1 Sí, 2 No",,,
P6_6_5,"6.6 ¿Cómo aprendió a utilizar la computadora, laptop o tablet? 
En cursos gratuitos fuera de la escuela",Varchar,1,[1-2],"1 Sí, 2 No",,,
P6_6_6,"6.6 ¿Cómo aprendió a utilizar la computadora, laptop o tablet? 
Con parientes, amigos(as), conocidos(as) o vecinos(as)",Varchar,1,[1-2],"1 Sí, 2 No",,,
P6_6_7,"6.6 ¿Cómo aprendió a utilizar la computadora, laptop o tablet? 
Otro modo",Varchar,1,[1-2],"1 Sí, 2 No",,,
P6_6A,"6.6 ¿Cómo aprendió a utilizar la computadora, laptop o tablet? 
Otro modo Especifique",Varchar,100,[A-Z], ,,,
P6_7_1,"6.7 En los últimos tres meses, ¿ha utilizado la computadora, laptop o tablet en...
 el hogar?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P6_7_2,"6.7 En los últimos tres meses, ¿ha utilizado la computadora, laptop o tablet en...
 el trabajo?",Varchar,1,[1-2],"1 Sí, 2 No",,,
